scenario_group,method_path,method_label,experiment,raw_experiment,config,run_id,source_file,scenario_harmonized,time_sec,time_not_moving
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,8.6,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,8.7,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,8.8,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,8.9,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.0,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.1,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.2,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.3,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.4,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.5,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.6,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.7,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.8,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,9.9,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.0,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.1,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.2,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.3,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.4,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.5,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.6,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.7,0
doors_hallway,mcts,mcts,doors_hallway,doors_hallway,,0,metrics_steps_mcts_doors_hallway_doors_hallway_0.csv,True,10.8,0
